date,srad,tmin,tmax,precip,lat,lon
1999-03-03,194.5,-1.7500061035156023,15.950006103515648,0.0,37.54,-108.74
1999-03-04,123.30000305175781,-0.6499999999999773,13.149987792968773,0.0,37.54,-108.74
1999-03-05,193.10000610351562,-6.949987792968727,8.850000000000023,0.0,37.54,-108.74
1999-03-06,199.90000915527344,-5.649999999999977,12.749993896484398,0.0,37.54,-108.74
1999-03-07,135.6999969482422,-1.1499999999999773,13.050012207031273,0.0,37.54,-108.74
1999-03-08,175.60000610351562,-3.8500122070312273,8.950006103515648,0.30000001192092896,37.54,-108.74
1999-03-09,160.6999969482422,-4.350012207031227,11.649987792968773,0.0,37.54,-108.74
1999-03-10,203.90000915527344,-2.8500122070312273,11.249993896484398,0.0,37.54,-108.74
1999-03-11,188.10000610351562,-3.0499938964843523,13.050012207031273,0.0,37.54,-108.74
1999-03-12,165.6999969482422,-5.149999999999977,7.649987792968773,1.3000000715255737,37.54,-108.74
1999-03-13,218.0,-6.549993896484352,11.850000000000023,0.0,37.54,-108.74
1999-03-14,217.3000030517578,-2.8500122070312273,16.450006103515648,0.0,37.54,-108.74
1999-03-15,217.90000915527344,0.14998779296877274,19.350000000000023,0.0,37.54,-108.74
1999-03-16,215.3000030517578,-0.5499938964843523,16.350000000000023,0.0,37.54,-108.74
1999-03-17,186.10000610351562,-1.7500061035156023,15.450006103515648,0.0,37.54,-108.74
1999-03-18,220.3000030517578,-2.0499938964843523,16.050012207031273,0.0,37.54,-108.74
1999-03-19,222.1999969482422,0.6499877929687727,18.050012207031273,0.0,37.54,-108.74
1999-03-20,222.40000915527344,0.7499938964843977,20.050012207031273,0.0,37.54,-108.74
1999-03-21,230.10000610351562,3.5500122070312727,18.749993896484398,0.0,37.54,-108.74
1999-03-22,233.5,-1.6499999999999773,15.950006103515648,0.0,37.54,-108.74
1999-03-23,223.10000610351562,-1.3500122070312273,18.249993896484398,0.0,37.54,-108.74
1999-03-24,235.90000915527344,-1.6499999999999773,17.950006103515648,0.0,37.54,-108.74
1999-03-25,230.60000610351562,0.14998779296877274,20.050012207031273,0.0,37.54,-108.74
1999-03-26,159.3000030517578,3.2499938964843977,20.050012207031273,0.0,37.54,-108.74
1999-03-27,230.1999969482422,2.3500000000000227,18.649987792968773,0.0,37.54,-108.74
1999-03-28,245.10000610351562,-1.6499999999999773,16.850000000000023,0.0,37.54,-108.74
1999-03-29,247.0,-0.25000610351560226,19.950006103515648,0.0,37.54,-108.74
1999-03-30,232.5,1.8500000000000227,20.649987792968773,0.0,37.54,-108.74
1999-03-31,235.60000610351562,-0.04999389648435226,15.450006103515648,0.30000001192092896,37.54,-108.74
1999-04-01,186.60000610351562,-1.0499938964843523,9.950006103515648,1.3000000715255737,37.54,-108.74
1999-04-02,208.10000610351562,-4.750006103515602,8.550012207031273,2.799999952316284,37.54,-108.74
1999-04-03,127.20000457763672,-6.850012207031227,3.6499877929687727,0.699999988079071,37.54,-108.74
1999-04-04,218.60000610351562,-7.149999999999977,7.350000000000023,3.0,37.54,-108.74
1999-04-05,225.6999969482422,-6.949987792968727,7.950006103515648,0.9000000357627869,37.54,-108.74
1999-04-06,263.8999938964844,-4.250006103515602,13.550012207031273,0.0,37.54,-108.74
1999-04-07,217.3000030517578,-2.0499938964843523,16.050012207031273,0.0,37.54,-108.74
1999-04-08,267.70001220703125,-5.850012207031227,10.149987792968773,0.0,37.54,-108.74
1999-04-09,160.5,-6.449987792968727,4.749993896484398,0.0,37.54,-108.74
1999-04-10,275.6000061035156,-8.549993896484352,5.850000000000023,0.0,37.54,-108.74
1999-04-11,258.3000183105469,-5.350012207031227,14.450006103515648,0.0,37.54,-108.74
1999-04-12,219.3000030517578,-0.5499938964843523,17.149987792968773,0.0,37.54,-108.74
1999-04-13,234.60000610351562,3.0500122070312727,17.050012207031273,0.0,37.54,-108.74
1999-04-14,278.3999938964844,-1.1499999999999773,12.649987792968773,0.0,37.54,-108.74
1999-04-15,283.3999938964844,-4.149999999999977,9.149987792968773,0.0,37.54,-108.74
1999-04-16,284.3000183105469,-6.649999999999977,8.850000000000023,0.0,37.54,-108.74
1999-04-17,282.6000061035156,-5.750006103515602,13.850000000000023,0.0,37.54,-108.74
1999-04-18,272.3000183105469,0.6499877929687727,19.649987792968773,0.0,37.54,-108.74
1999-04-19,280.20001220703125,4.649987792968773,21.649987792968773,0.0,37.54,-108.74
1999-04-20,265.3000183105469,3.7499938964843977,21.749993896484398,0.0,37.54,-108.74
1999-04-21,227.60000610351562,2.1499877929687727,15.550012207031273,4.0,37.54,-108.74
1999-04-22,125.0999984741211,0.14998779296877274,12.149987792968773,7.5,37.54,-108.74
1999-04-23,198.3000030517578,1.8500000000000227,16.149987792968773,3.1000001430511475,37.54,-108.74
1999-04-24,175.1999969482422,2.2499938964843977,14.649987792968773,18.700000762939453,37.54,-108.74
1999-04-25,207.40000915527344,-1.7500061035156023,10.149987792968773,9.199999809265137,37.54,-108.74
1999-04-26,219.0,-0.25000610351560226,16.649987792968773,1.7000000476837158,37.54,-108.74
1999-04-27,278.1000061035156,1.9500061035156477,20.450006103515648,0.0,37.54,-108.74
1999-04-28,254.8000030517578,2.9500061035156477,20.550012207031273,2.299999952316284,37.54,-108.74
1999-04-29,241.1999969482422,1.5500122070312727,16.350000000000023,1.2000000476837158,37.54,-108.74
1999-04-30,229.1999969482422,0.14998779296877274,13.550012207031273,7.099999904632568,37.54,-108.74
1999-05-01,272.3999938964844,-0.9499877929687273,15.050012207031273,14.40000057220459,37.54,-108.74
1999-05-02,302.8000183105469,-1.2500061035156023,16.350000000000023,0.699999988079071,37.54,-108.74
1999-05-03,216.40000915527344,2.3500000000000227,13.950006103515648,13.40000057220459,37.54,-108.74
1999-05-04,173.90000915527344,-2.0499938964843523,9.249993896484398,3.1000001430511475,37.54,-108.74
1999-05-05,244.5,-3.4499877929687273,8.950006103515648,0.0,37.54,-108.74
1999-05-06,331.70001220703125,-5.149999999999977,13.050012207031273,0.0,37.54,-108.74
1999-05-07,326.0,-1.4499877929687273,20.249993896484398,0.0,37.54,-108.74
1999-05-08,323.70001220703125,3.4500061035156477,23.450006103515648,0.0,37.54,-108.74
1999-05-09,317.20001220703125,4.350000000000023,20.550012207031273,0.0,37.54,-108.74
1999-05-10,293.1000061035156,0.14998779296877274,13.850000000000023,0.699999988079071,37.54,-108.74
1999-05-11,260.70001220703125,-1.4499877929687273,13.649987792968773,0.0,37.54,-108.74
1999-05-12,327.3000183105469,-0.44998779296872726,20.050012207031273,0.0,37.54,-108.74
1999-05-13,325.3999938964844,6.149987792968773,23.550012207031273,0.0,37.54,-108.74
1999-05-14,328.70001220703125,4.649987792968773,19.850000000000023,0.0,37.54,-108.74
1999-05-15,330.6000061035156,2.4500061035156477,19.550012207031273,0.0,37.54,-108.74
1999-05-16,326.3999938964844,0.5500122070312727,17.550012207031273,0.0,37.54,-108.74
1999-05-17,339.1000061035156,-3.0499938964843523,19.050012207031273,0.0,37.54,-108.74
1999-05-18,329.3999938964844,2.7499938964843977,24.850000000000023,0.0,37.54,-108.74
1999-05-19,336.3000183105469,6.050012207031273,24.749993896484398,0.0,37.54,-108.74
1999-05-20,337.70001220703125,5.050012207031273,23.249993896484398,0.0,37.54,-108.74
1999-05-21,329.20001220703125,6.050012207031273,26.149987792968773,0.0,37.54,-108.74
1999-05-22,330.20001220703125,8.950006103515648,26.350000000000023,0.0,37.54,-108.74
1999-05-23,316.5,8.249993896484398,26.850000000000023,0.6000000238418579,37.54,-108.74
1999-05-24,320.6000061035156,7.649987792968773,23.850000000000023,5.900000095367432,37.54,-108.74
1999-05-25,315.1000061035156,5.450006103515648,21.450006103515648,2.9000000953674316,37.54,-108.74
1999-05-26,315.6000061035156,5.249993896484398,23.149987792968773,0.0,37.54,-108.74
1999-05-27,329.0,7.550012207031273,24.149987792968773,0.5,37.54,-108.74
1999-05-28,329.70001220703125,6.850000000000023,26.149987792968773,0.800000011920929,37.54,-108.74
1999-05-29,298.8999938964844,9.649987792968773,26.450006103515648,1.3000000715255737,37.54,-108.74
1999-05-30,258.3000183105469,7.550012207031273,23.450006103515648,0.0,37.54,-108.74
1999-05-31,332.8999938964844,6.950006103515648,23.350000000000023,0.0,37.54,-108.74
1999-06-01,345.20001220703125,5.050012207031273,24.050012207031273,0.0,37.54,-108.74
1999-06-02,239.6999969482422,6.649987792968773,23.249993896484398,2.1000001430511475,37.54,-108.74
1999-06-03,344.20001220703125,2.5500122070312727,22.450006103515648,0.0,37.54,-108.74
1999-06-04,213.0,3.4500061035156477,19.749993896484398,0.0,37.54,-108.74
1999-06-05,201.10000610351562,-4.149999999999977,13.350000000000023,2.4000000953674316,37.54,-108.74
1999-06-06,342.8999938964844,-1.1499999999999773,22.350000000000023,0.0,37.54,-108.74
1999-06-07,349.3999938964844,5.149987792968773,26.649987792968773,0.0,37.54,-108.74
1999-06-08,350.3999938964844,5.550012207031273,26.149987792968773,0.0,37.54,-108.74
1999-06-09,348.20001220703125,5.249993896484398,23.950006103515648,0.0,37.54,-108.74
1999-06-10,349.0,5.350000000000023,24.450006103515648,0.0,37.54,-108.74
1999-06-11,345.0,5.350000000000023,25.350000000000023,0.0,37.54,-108.74
1999-06-12,345.5,5.149987792968773,26.950006103515648,0.0,37.54,-108.74
1999-06-13,347.3000183105469,5.850000000000023,27.749993896484398,0.0,37.54,-108.74
1999-06-14,334.8999938964844,7.649987792968773,27.950006103515648,0.0,37.54,-108.74
1999-06-15,303.8000183105469,9.050012207031273,29.050012207031273,0.5,37.54,-108.74
1999-06-16,327.0,11.950006103515648,29.350000000000023,2.9000000953674316,37.54,-108.74
1999-06-17,296.8999938964844,11.149987792968773,27.249993896484398,14.800000190734863,37.54,-108.74
1999-06-18,329.5,10.350000000000023,28.450006103515648,0.800000011920929,37.54,-108.74
1999-06-19,342.3999938964844,10.249993896484398,31.050012207031273,0.0,37.54,-108.74
1999-06-20,340.5,10.649987792968773,30.749993896484398,1.100000023841858,37.54,-108.74
1999-06-21,329.70001220703125,10.850000000000023,30.249993896484398,1.7000000476837158,37.54,-108.74
1999-06-22,341.1000061035156,10.350000000000023,29.350000000000023,0.0,37.54,-108.74
1999-06-23,345.3999938964844,11.050012207031273,30.149987792968773,0.0,37.54,-108.74
1999-06-24,345.0,12.749993896484398,31.850000000000023,0.0,37.54,-108.74
1999-06-25,341.70001220703125,11.950006103515648,31.749993896484398,0.0,37.54,-108.74
1999-06-26,336.70001220703125,11.050012207031273,31.450006103515648,0.0,37.54,-108.74
1999-06-27,341.3999938964844,11.749993896484398,31.550012207031273,0.0,37.54,-108.74
1999-06-28,344.5,12.950006103515648,31.850000000000023,0.0,37.54,-108.74
1999-06-29,344.8000183105469,11.450006103515648,31.950006103515648,0.0,37.54,-108.74
1999-06-30,340.8000183105469,12.249993896484398,30.749993896484398,0.0,37.54,-108.74
1999-07-01,319.8999938964844,13.450006103515648,32.45000610351565,0.0,37.54,-108.74
1999-07-02,315.3999938964844,14.950006103515648,32.7499938964844,0.0,37.54,-108.74
1999-07-03,313.20001220703125,13.050012207031273,30.350000000000023,0.5,37.54,-108.74
1999-07-04,317.5,13.149987792968773,30.450006103515648,0.0,37.54,-108.74
1999-07-05,317.5,15.649987792968773,32.45000610351565,0.30000001192092896,37.54,-108.74
1999-07-06,309.0,14.149987792968773,32.14998779296877,1.0,37.54,-108.74
1999-07-07,292.3999938964844,13.649987792968773,30.450006103515648,1.399999976158142,37.54,-108.74
1999-07-08,285.8000183105469,12.550012207031273,28.550012207031273,1.8000000715255737,37.54,-108.74
1999-07-09,305.0,12.950006103515648,29.050012207031273,1.0,37.54,-108.74
1999-07-10,309.0,13.149987792968773,30.649987792968773,0.4000000059604645,37.54,-108.74
1999-07-11,296.6000061035156,12.649987792968773,29.350000000000023,0.30000001192092896,37.54,-108.74
1999-07-12,308.1000061035156,11.950006103515648,29.950006103515648,0.4000000059604645,37.54,-108.74
1999-07-13,293.1000061035156,14.350000000000023,31.149987792968773,0.4000000059604645,37.54,-108.74
1999-07-14,274.70001220703125,13.450006103515648,28.050012207031273,1.399999976158142,37.54,-108.74
